Pattern,3rd Value Avg,4th Value Avg
25000,13.816400146484375,642.0921000000001
50000,51.016900634765626,2711.4809999999998
75000,112.6458740234375,6175.6230000000005
100000,200.2743896484375,11113.24
200000,809.3937866210938,45516.909999999996
300000,1844.7259887695313,103891.7
400000,3335.638116455078,187131.0
500000,5301.086346435547,296701.5
25000,4.6393310546875,129.5807
50000,8.163916015625,324.3352
75000,13.208050537109376,624.4048
100000,21.354754638671874,1037.0158
200000,72.27991943359375,3674.0660000000003
300000,154.71847534179688,7900.695
400000,277.14503784179686,14092.179999999998
500000,436.9635864257813,21962.71
25000,8.4420654296875,400.96930000000003
50000,22.608233642578124,1415.652
75000,46.05521850585937,3098.683
100000,78.940625,5446.2699999999995
200000,294.66514282226564,21540.41
300000,658.1908447265625,48350.89
400000,1180.2362243652344,85933.11
500000,1867.3564392089843,134251.3
